,2004-01,2004-06,2005-01,2005-06,2006-01,2006-06,2007-01,2007-06,2008-01,2008-06,2009-01,2009-06,2010-01,2010-06,2011-01,2011-06,2012-01,2012-06,2013-01,2013-06,2014-01,2014-06,2015-01,2015-06,2016-01,2016-06,2017-01,2017-06,2018-01,2018-06,2019-01,2019-06,2020-01,2020-06,2021-01,2021-06,2022-01,2022-06
39,GRMN,GRMN,GRMN,FLEX,ESRX,ESRX,ESRX,FISV,FMCN,FMCN,FWLT,FWLT,FLEX,FLEX,FSLR,FAST,FAST,FAST,FFIV,ESRX,FFIV,FFIV,EA,EA,ENDP,ENDP,MCHP,MCHP,EXPE,EXPE,"GILD
","FOX
","FB
","FB
",EXC,EXC,FAST,EA
40,GNTX,GNTX,GNTX,GRMN,FAST,FAST,FAST,FLEX,FWLT,FWLT,GRMN,GRMN,FLIR,FLIR,FISV,FSLR,FSLR,FISV,FB,FFIV,FB,FB,EQIX,EXPD,EXPE,EXPE,EXPE,EXPE,ESRX,ESRX,"HAS
","FOXA
","FAST
","FAST
",FB,FB,FISV,EXC
41,GENZ,GENZ,GENZ,GNTX,FISV,FISV,FISV,GRMN,GRMN,GRMN,GENZ,GENZ,FWLT,FWLT,FLEX,FISV,FISV,FLEX,FAST,FB,FAST,FAST,EXPD,ESRX,ESRX,ESRX,ESRX,ESRX,FB,FB,"HSIC
","GILD
","FISV
","FISV
",FAST,FAST,FTNT,FAST
42,GILD,GILD,GILD,GENZ,FLEX,FLEX,FLEX,GENZ,GENZ,GENZ,GILD,GILD,GRMN,GRMN,FLIR,FLEX,FLEX,FOSL,FISV,FAST,FISV,FISV,ESRX,FB,FB,FB,FB,FB,FAST,FAST,"IDXX
","HAS
","FOXA
","FOXA
",FISV,FISV,GILD,FISV
43,HSIC,HSIC,HSIC,GILD,GRMN,GRMN,GRMN,GILD,GILD,GILD,GOOG,GOOG,GENZ,GENZ,GRMN,FLIR,FOSL,GRMN,FOSL,FISV,GRMN,GRMN,FB,FAST,FAST,FAST,FAST,FAST,FISV,FISV,"ILMN
","HSIC
","FOX
","FOX
",FOXA,FOXA,HON,FTNT
44,INTC,INTC,IACI,HSIC,GENZ,GENZ,GENZ,GOOG,GOOG,GOOG,HANS,HANS,GILD,GILD,GENZ,GRMN,GRMN,GILD,GRMN,FOSL,GILD,GILD,FAST,FISV,FISV,FISV,FISV,FISV,GILD,GILD,"INCY
","IDXX
","GILD
","GILD
",FOX,FOX,IDXX,GILD
45,IACI,IACI,INTC,IACI,GILD,GILD,GILD,IACI,HANS,HANS,HSIC,HSIC,GOOG,GOOG,GILD,GILD,GILD,GOOG,GILD,GRMN,GOOG,GOOG,FISV,GRMN,GILD,GILD,GILD,GILD,HSIC,HAS,"INTC
","ILMN
","IDXX
","IDXX
",GILD,GILD,ILMN,HON
46,ISIL,ISIL,ISIL,INTC,GOOG,GOOG,GOOG,INFY,HSIC,HSIC,HOLX,HOLX,HSIC,HSIC,GOOG,GOOG,GOOG,GMCR,GOOG,GILD,GMCR,GOOGL,GRMN,GILD,HSIC,HSIC,HSIC,HSIC,ILMN,HSIC,"INTU
","INCY
","ILMN
","ILMN
",IDXX,IDXX,INTC,IDXX
47,INTU,INTU,INTU,ISIL,IACI,IACI,IACI,INTC,HOLX,HOLX,IACI,IACI,HOLX,HOLX,HSIC,GMCR,GMCR,HSIC,HSIC,GOOG,HSIC,GMCR,GILD,GOOGL,ILMN,ILMN,ILMN,ILMN,INCY,HOLX,"ISRG
","INTC
","INCY
","INCY
",ILMN,ILMN,INTU,ILMN
48,IVGN,IVGN,IVGN,INTU,INTC,INTC,INFY,INTU,IACI,IACI,ILMN,ILMN,ILMN,ILMN,ILMN,HSIC,HANS,INFY,INTC,HSIC,ILMN,HSIC,GOOGL,GOOG,INCY,INCY,INCY,INCY,INTC,IDXX,"JBHT
","INTU
","INTC
","INTC
",INCY,INCY,ISRG,INTC
49,JDSU,JDSU,JDSU,IVGN,INTU,INTU,INTC,ISRG,INFY,INFY,INFY,INFY,INFY,INFY,INFY,ILMN,HSIC,INTC,INTU,INTC,INTC,ILMN,GOOG,HSIC,INTC,INTC,INTC,INTC,INTU,ILMN,"JD
","ISRG
","INTU
","INTU
",INTC,INTC,JD,INTU
50,JNPR,JNPR,JNPR,JDSU,JDSU,JDSU,INTU,JOYG,INTC,INTC,INTC,INTC,INTC,INTC,INTC,INFY,INFY,INTU,ISRG,INTU,INTU,INTC,HSIC,ILMN,INTU,INTU,INTU,INTU,ISRG,INCY,"KLAC
","JBHT
","ISRG
","ISRG
",INTU,INTU,KDP,ISRG
51,KLAC,KLAC,KLAC,JNPR,JNPR,JNPR,ISRG,JNPR,INTU,INTU,INTU,INTU,INTU,INTU,INTU,INTC,INTC,ISRG,KLAC,ISRG,ISRG,INTU,ILMN,INTC,ISRG,ISRG,ISRG,ISRG,JD,INTC,"LRCX
","JD
","JD
","JD
",ISRG,ISRG,KLAC,JD
52,LRCX,LRCX,LRCX,KLAC,KLAC,KLAC,JOYG,KLAC,ISRG,ISRG,ISRG,ISRG,ISRG,ISRG,ISRG,INTU,INTU,KLAC,LBTYA,KLAC,KLAC,ISRG,INTC,INTU,JD,JD,JD,JD,KHC,INTU,"LULU
","KLAC
","KLAC
","KLAC
",JD,JD,KHC,KDP
53,LAMR,LAMR,LAMR,LRCX,LRCX,LRCX,JNPR,LRCX,JOYG,JOYG,JBHT,JBHT,JBHT,JBHT,JOYG,ISRG,ISRG,LRCX,LINTA,KRFT,KRFT,KLAC,INTU,ISRG,KHC,KHC,KHC,KHC,LRCX,ISRG,"MAR
","LRCX
","KHC
","KHC
",KDP,KDP,LRCX,KLAC
