,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
80,CNQR,CNQR,CNW,COO,COO,CPT,CSC,CTB,CRUS,CRUS,CRL,DCI
81,CNW,CNW,CPO,CPRT,CPRT,CR,CSL,CTLT,CSL,CSL,CRUS,DECK
82,CPO,CPO,CPRT,CPT,CPT,CRC,CST,CUZ,CTLT,CTLT,CSL,DEI
83,CPRT,CPRT,CPT,CPWR,CPWR,CREE,CTLT,CVG,CUZ,CUZ,CUZ,DINO
84,CPT,CPT,CR,CR,CR,CRI,CUZ,CVLT,CVLT,CVLT,CVLT,DKS
85,CR,CR,CREE,CREE,CREE,CRL,CVG,CW,CW,CW,CW,DOC
86,CREE,CREE,CRK,CRI,CRI,CRS,CVLT,CXW,CXW,CXW,CZR,DTM
87,CRK,CRK,CRL,CRL,CRL,CSAL,CW,CY,CY,CY,DAN,DY
88,CRL,CRL,CRS,CRR,CRR,CSL,CXW,DAN,DAN,DAN,DAR,EEFT
89,CRS,CRS,CSL,CRS,CRS,CST,CY,DBD,DCI,DCI,DCI,EGP
90,CSL,CSL,CUZ,CSL,CSL,CVG,DAN,DCI,DDS,DDS,DECK,EHC
91,CUZ,CUZ,CVD,CST,CST,CVLT,DBD,DCT,DECK,DECK,DEI,ELY
92,CVD,CVD,CVG,CVD,CVD,CXW,DCI,DDD,DEI,DEI,DKS,EME
93,CVG,CVG,CXW,CVG,CVG,CY,DCT,DDS,DKS,DKS,DOC,ENOV
94,CXW,CXW,CYH,CVLT,CVLT,CYH,DDD,DECK,DLPH,DLPH,DY,ENR
95,CYH,CYH,CYN,CXW,CXW,CYN,DECK,DEI,DLX,DLX,EBS,ENS
96,CYN,CYN,CYT,CY,CY,CYT,DEI,DF,DNB,DNB,EGP,ENV
97,CYT,CYT,DBD,CYH,CYH,DAN,DF,DKS,DNKN,DNKN,EHC,EPR
98,DBD,DBD,DCI,CYN,CYN,DBD,DKS,DLPH,DNOW,DNOW,EME,EQT
99,DCI,DCI,DECK,CYT,CYT,DCI,DLX,DLX,DO,DO,ENPH,ESAB
100,DECK,DECK,DKS,DBD,DBD,DDD,DNKN,DNB,DPZ,DPZ,ENR,ESNT
101,DKS,DKS,DLTR,DCI,DCI,DECK,DNOW,DNKN,DRQ,DRQ,ENS,ETRN
102,DLTR,DLTR,DLX,DDD,DDD,DEI,DNR,DNOW,DY,DY,EPC,EVR
103,DLX,DLX,DPL,DECK,DECK,DF,DO,DO,EAT,EAT,EPR,EWBC
104,DPL,DPL,DRE,DF,DF,DKS,DPZ,DPZ,EGN,EGN,EQT,EXEL
105,DRE,DRE,DRIV,DKS,DKS,DLX,DRE,DRQ,EHC,EHC,ESNT,EXP
106,DRIV,DRIV,DRQ,DLX,DLX,DNKN,DRQ,DST,EME,EME,ETRN,FAF
107,DRQ,DRQ,DST,DPZ,DPZ,DNOW,DST,DY,ENR,ENR,EV,FCFS
108,DST,DST,DWA,DRC,DRC,DNR,DV,EAT,ENS,ENS,EVR,FCN
109,DWA,DWA,DYN,DRE,DRE,DPZ,DY,EDR,EPC,EPC,EWBC,FFIN
110,DYN,DYN,EAT,DRQ,DRQ,DRC,EAT,EGN,EPR,EPR,EXEL,FHI
111,EAT,EAT,EGN,DST,DST,DRE,EDR,EME,ERI,ERI,EXP,FHN
112,EGN,EGN,EK,DV,DV,DRQ,EGN,ENDP,ESL,ESL,FAF,FICO
113,EK,EK,ENDP,DWA,DWA,DST,EME,ENR,ESV,ESV,FCFS,FIVE
114,ENDP,ENDP,ENR,EAT,EAT,DV,ENH,ENS,EV,EV,FCN,FL
115,ENR,ENR,EQIX,EGN,EGN,DWA,ENR,EPC,EVR,EVR,FDS,FLO
116,EQIX,EQIX,EQY,ENDP,ENDP,EAT,ENS,EPR,EWBC,EWBC,FFIN,FLR
117,EQY,EQY,ESI,ENR,ENR,EGN,EPC,ESL,EXEL,EXEL,FHI,FLS
118,ESI,ESI,ESS,EQIX,EQIX,ENR,EPR,ESV,EXP,EXP,FHN,FNB
119,ESS,ESS,EV,EQY,EQY,EQY,EQY,EV,FAF,FAF,FICO,FOXF
120,EV,EV,EW,ESL,ESL,ESL,ESL,EWBC,FDS,FDS,FIVE,FR
121,EW,EW,EWBC,ESS,ESS,EV,ESV,EXP,FHN,FHN,FL,FSLR
122,EWBC,EWBC,EXBD,EV,EV,EWBC,EV,FAF,FICO,FICO,FLO,FULT
123,EXBD,EXBD,EXH,EWBC,EWBC,EXP,EWBC,FDS,FII,FII,FLR,G
124,EXH,EXH,FAF,EXP,EXP,EXR,EXP,FHN,FIVE,FIVE,FNB,GATX
125,FAF,FAF,FCN,EXR,EXR,FAF,FAF,FICO,FLO,FLO,FOXF,GBCI
126,FCN,FCN,FCS,FAF,FAF,FBHS,FCN,FII,FNB,FNB,FR,GEF
127,FCS,FCS,FDS,FBHS,FBHS,FCN,FDS,FLO,FR,FR,FSLR,GGG
